,Sno,Country/Territory,UN Region,Bank,Ammount,Year
41,14,Channel Islands,Europe,United Nations,0,2007
42,15,Faroe Islands,Europe,IMF,0,0
43,15,Faroe Islands,Europe,World Bank,69010,2021
44,15,Faroe Islands,Europe,United Nations,0,2021
45,16,Denmark,Europe,IMF,68827,2023
46,16,Denmark,Europe,World Bank,68008,2021
47,16,Denmark,Europe,United Nations,68037,2021
48,17,Australia,Oceania,IMF,64964,2023
49,17,Australia,Oceania,World Bank,60443,2021
50,17,Australia,Oceania,United Nations,66916,2021
51,18,Netherlands,Europe,IMF,61098,2023
52,18,Netherlands,Europe,World Bank,57768,2021
53,18,Netherlands,Europe,United Nations,57871,2021
54,19,Greenland,Americas,IMF,0,0
55,19,Greenland,Americas,World Bank,54571,2020
56,19,Greenland,Americas,United Nations,58185,2020
57,20,Austria,Europe,IMF,56802,2023
58,20,Austria,Europe,World Bank,53638,2021
59,20,Austria,Europe,United Nations,53840,2021
60,21,Israel,Asia,IMF,55535,2023
61,21,Israel,Asia,World Bank,52171,2021
62,21,Israel,Asia,United Nations,54111,2021
63,22,Sweden,Europe,IMF,55395,2023
64,22,Sweden,Europe,World Bank,61029,2021
65,22,Sweden,Europe,United Nations,60730,2021
66,23,Finland,Europe,IMF,54351,2023
67,23,Finland,Europe,World Bank,53655,2021
68,23,Finland,Europe,United Nations,53703,2021
69,24,Belgium,Europe,IMF,53377,2023
70,24,Belgium,Europe,World Bank,51247,2021
71,24,Belgium,Europe,United Nations,51166,2021
72,25,San Marino,Europe,IMF,52949,2023
73,25,San Marino,Europe,World Bank,45320,2020
74,25,San Marino,Europe,United Nations,50425,2020
75,26,Canada,Americas,IMF,52722,2023
76,26,Canada,Americas,World Bank,51988,2021
77,26,Canada,Americas,United Nations,52112,2021
78,27,Hong Kong,Asia,IMF,52429,2023
79,27,Hong Kong,Asia,World Bank,49801,2021
80,27,Hong Kong,Asia,United Nations,49259,2021
81,28,Germany,Europe,IMF,51383,2023
82,28,Germany,Europe,World Bank,51204,2021
83,28,Germany,Europe,United Nations,51073,2021
84,29,Macau,Asia,IMF,50571,2023
85,29,Macau,Asia,World Bank,43874,2021
86,29,Macau,Asia,United Nations,43555,2021
87,30,United Arab Emirates,Asia,IMF,49451,2023
88,30,United Arab Emirates,Asia,World Bank,44316,2021
89,30,United Arab Emirates,Asia,United Nations,43295,2021
90,31,British Virgin Islands,Americas,IMF,0,0
91,31,British Virgin Islands,Americas,World Bank,0,0
92,31,British Virgin Islands,Americas,United Nations,49444,0
93,32,New Zealand,Oceania,IMF,48826,2023
94,32,New Zealand,Oceania,World Bank,48781,2021
95,32,New Zealand,Oceania,United Nations,48824,2021
96,33,United Kingdom,Europe,IMF,46371,2023
97,33,United Kingdom,Europe,World Bank,46510,2021
98,33,United Kingdom,Europe,United Nations,46542,2021
99,34,France,Europe,IMF,44408,2023
100,34,France,Europe,World Bank,43659,2021
101,34,France,Europe,United Nations,44229,2021
102,35,Andorra,Europe,IMF,44387,2023
103,35,Andorra,Europe,World Bank,42137,2021
104,35,Andorra,Europe,United Nations,42066,2021
105,36,European Union[n 1],Europe,IMF,39940,2023
106,36,European Union[n 1],Europe,World Bank,38411,2021
107,36,European Union[n 1],Europe,United Nations,31875,2021
108,37,US Virgin Islands,Americas,IMF,0,0
109,37,US Virgin Islands,Americas,World Bank,39552,2020
110,37,US Virgin Islands,Americas,United Nations,0,2020
111,38,Puerto Rico,Americas,IMF,38567,2023
112,38,Puerto Rico,Americas,World Bank,32641,2021
113,38,Puerto Rico,Americas,United Nations,32716,2021
114,39,New Caledonia,Oceania,IMF,0,0
115,39,New Caledonia,Oceania,World Bank,37160,2021
116,39,New Caledonia,Oceania,United Nations,34994,2021
117,40,Malta,Europe,IMF,36989,2023
118,40,Malta,Europe,World Bank,33487,2021
119,40,Malta,Europe,United Nations,33642,2021
120,41,Italy,Europe,IMF,36812,2023
121,41,Italy,Europe,World Bank,35658,2021
122,41,Italy,Europe,United Nations,35579,2021
123,42,Guam,Oceania,IMF,0,0
124,42,Guam,Oceania,World Bank,35905,2021
125,42,Guam,Oceania,United Nations,0,2021
126,43,Bahamas,Americas,IMF,35458,2023
127,43,Bahamas,Americas,World Bank,27478,2021
128,43,Bahamas,Americas,United Nations,27478,2021
129,44,Japan,Asia,IMF,35385,2023
130,44,Japan,Asia,World Bank,39313,2021
131,44,Japan,Asia,United Nations,39650,2021
132,45,Brunei,Asia,IMF,35103,2023
133,45,Brunei,Asia,World Bank,31449,2021
134,45,Brunei,Asia,United Nations,31449,2021
135,46,Taiwan,Asia,IMF,33907,2023
136,46,Taiwan,Asia,World Bank,0,0
137,46,Taiwan,Asia,United Nations,0,0
138,47,Cyprus,Asia,IMF,33807,2023
139,47,Cyprus,Asia,World Bank,31552,2021
140,47,Cyprus,Asia,United Nations,32281,2021
141,48,Kuwait,Asia,IMF,33646,2023
142,48,Kuwait,Asia,World Bank,24300,2020
143,48,Kuwait,Asia,United Nations,32150,2020
144,49,South Korea,Asia,IMF,33393,2023
145,49,South Korea,Asia,World Bank,34998,2021
146,49,South Korea,Asia,United Nations,34940,2021
147,50,Aruba,Americas,IMF,33094,2023
148,50,Aruba,Americas,World Bank,29342,2021
149,50,Aruba,Americas,United Nations,29342,2021
150,51,Slovenia,Europe,IMF,32214,2023
151,51,Slovenia,Europe,World Bank,29291,2021
152,51,Slovenia,Europe,United Nations,29135,2021
153,52,Czech Republic,Europe,IMF,31368,2023
154,52,Czech Republic,Europe,World Bank,26821,2021
155,52,Czech Republic,Europe,United Nations,26809,2021
156,53,Spain,Europe,IMF,31223,2023
157,53,Spain,Europe,World Bank,30104,2021
158,53,Spain,Europe,United Nations,30058,2021
159,54,Estonia,Europe,IMF,31209,2023
160,54,Estonia,Europe,World Bank,27944,2021
161,54,Estonia,Europe,United Nations,27991,2021
162,55,Saudi Arabia,Asia,IMF,29922,2023
163,55,Saudi Arabia,Asia,World Bank,23186,2021
164,55,Saudi Arabia,Asia,United Nations,23186,2021
165,56,Bahrain,Asia,IMF,28385,2023
166,56,Bahrain,Asia,World Bank,26563,2021
167,56,Bahrain,Asia,United Nations,26563,2021
168,57,Lithuania,Europe,IMF,28094,2023
169,57,Lithuania,Europe,World Bank,23723,2021
170,57,Lithuania,Europe,United Nations,23844,2021
171,58,Sint Maarten (Dutch part),Americas,IMF,0,0
172,58,Sint Maarten (Dutch part),Americas,World Bank,28988,2018
173,58,Sint Maarten (Dutch part),Americas,United Nations,26199,2018
174,59,Portugal,Europe,IMF,26012,2023
175,59,Portugal,Europe,World Bank,24568,2021
176,59,Portugal,Europe,United Nations,24651,2021
177,60,Latvia,Europe,IMF,25136,2023
178,60,Latvia,Europe,World Bank,21148,2021
179,60,Latvia,Europe,United Nations,21267,2021
180,61,Northern Mariana Islands,Oceania,IMF,0,0
181,61,Northern Mariana Islands,Oceania,World Bank,23707,2019
182,61,Northern Mariana Islands,Oceania,United Nations,0,2019
183,62,Slovakia,Europe,IMF,23457,2023
184,62,Slovakia,Europe,World Bank,21392,2021
185,62,Slovakia,Europe,United Nations,21390,2021
186,63,Greece,Europe,IMF,22595,2023
187,63,Greece,Europe,World Bank,20193,2021
188,63,Greece,Europe,United Nations,20571,2021
189,64,Oman,Asia,IMF,21960,2023
190,64,Oman,Asia,World Bank,19510,2021
191,64,Oman,Asia,United Nations,19509,2021
192,65,Saint Martin (French part),Americas,IMF,0,0
193,65,Saint Martin (French part),Americas,World Bank,21921,2014
194,65,Saint Martin (French part),Americas,United Nations,0,2014
195,66,Uruguay,Americas,IMF,21677,2023
196,66,Uruguay,Americas,World Bank,17313,2021
197,66,Uruguay,Americas,United Nations,17313,2021
198,67,Barbados,Americas,IMF,21085,2023
199,67,Barbados,Americas,World Bank,17226,2021
200,67,Barbados,Americas,United Nations,17225,2021
201,68,Turks and Caicos Islands,Americas,IMF,0,0
202,68,Turks and Caicos Islands,Americas,World Bank,20909,2021
203,68,Turks and Caicos Islands,Americas,United Nations,20909,2021
204,69,Guyana,Americas,IMF,20539,2023
205,69,Guyana,Americas,World Bank,9999,2021
206,69,Guyana,Americas,United Nations,9999,2021
207,70,Croatia,Europe,IMF,20537,2023
208,70,Croatia,Europe,World Bank,17685,2021
209,70,Croatia,Europe,United Nations,16983,2021
210,71,French Polynesia,Oceania,IMF,0,0
211,71,French Polynesia,Oceania,World Bank,19915,2021
212,71,French Polynesia,Oceania,United Nations,19915,2021
213,72,Poland,Europe,IMF,19912,2023
214,72,Poland,Europe,World Bank,18000,2021
215,72,Poland,Europe,United Nations,17736,2021
216,73,Trinidad and Tobago,Americas,IMF,19858,2023
217,73,Trinidad and Tobago,Americas,World Bank,16033,2021
218,73,Trinidad and Tobago,Americas,United Nations,16033,2021
219,74,Seychelles,Africa,IMF,19536,2023
220,74,Seychelles,Africa,World Bank,14653,2021
221,74,Seychelles,Africa,United Nations,12085,2021
222,75,Hungary,Europe,IMF,19385,2023
223,75,Hungary,Europe,World Bank,18728,2021
224,75,Hungary,Europe,United Nations,18728,2021
225,76,Cook Islands,Oceania,IMF,0,0
226,76,Cook Islands,Oceania,World Bank,0,0
227,76,Cook Islands,Oceania,United Nations,19264,0
228,77,Anguilla,Americas,IMF,0,0
229,77,Anguilla,Americas,World Bank,0,0
230,77,Anguilla,Americas,United Nations,19216,0
231,78,Romania,Europe,IMF,18530,2023
232,78,Romania,Europe,World Bank,14858,2021
233,78,Romania,Europe,United Nations,14698,2021
234,79,Antigua and Barbuda,Americas,IMF,18244,2023
235,79,Antigua and Barbuda,Americas,World Bank,15781,2021
236,79,Antigua and Barbuda,Americas,United Nations,15246,2021
237,80,Saint Kitts and Nevis,Americas,IMF,17856,2023
238,80,Saint Kitts and Nevis,Americas,World Bank,18083,2021
239,80,Saint Kitts and Nevis,Americas,United Nations,18083,2021
240,81,Chile,Americas,IMF,17827,2023
241,81,Chile,Americas,World Bank,16265,2021
242,81,Chile,Americas,United Nations,16265,2021
243,82,Curaçao,Americas,IMF,0,0
244,82,Curaçao,Americas,World Bank,17718,2021
245,82,Curaçao,Americas,United Nations,14183,2021
246,83,Maldives,Asia,IMF,17626,2023
247,83,Maldives,Asia,World Bank,10366,2021
248,83,Maldives,Asia,United Nations,10366,2021
249,84,Panama,Americas,IMF,17350,2023
250,84,Panama,Americas,World Bank,14618,2021
251,84,Panama,Americas,United Nations,14618,2021
252,85,Montserrat,Americas,IMF,0,0
253,85,Montserrat,Americas,World Bank,0,0
254,85,Montserrat,Americas,United Nations,16199,0
255,86,American Samoa,Oceania,IMF,0,0
256,86,American Samoa,Oceania,World Bank,15743,2021
257,86,American Samoa,Oceania,United Nations,0,2021
258,87,Bulgaria,Europe,IMF,14893,2023
259,87,Bulgaria,Europe,World Bank,12222,2021
260,87,Bulgaria,Europe,United Nations,12207,2021
261,88,Palau,Oceania,IMF,14804,2023
262,88,Palau,Oceania,World Bank,12084,2021
263,88,Palau,Oceania,United Nations,12084,2021
264,89,Costa Rica,Americas,IMF,14733,2023
265,89,Costa Rica,Americas,World Bank,12472,2021
266,89,Costa Rica,Americas,United Nations,12472,2021
267,90,Russia,Europe,IMF,14403,2023
268,90,Russia,Europe,World Bank,12195,2021
269,90,Russia,Europe,United Nations,12259,2021
270,91,China,Asia,IMF,13721,2023
271,91,China,Asia,World Bank,12556,2021
272,91,China,Asia,United Nations,12437,2021
273,92,Argentina,Americas,IMF,13709,2023
274,92,Argentina,Americas,World Bank,10636,2021
275,92,Argentina,Americas,United Nations,10761,2021
276,93,World,World,IMF,13440,2023
277,93,World,World,World Bank,12235,2021
278,93,World,World,United Nations,12230,2021
279,94,Malaysia,Asia,IMF,13382,2023
280,94,Malaysia,Asia,World Bank,11109,2021
281,94,Malaysia,Asia,United Nations,11101,2021
282,95,Turkmenistan,Asia,IMF,13065,2023
283,95,Turkmenistan,Asia,World Bank,7345,2019
284,95,Turkmenistan,Asia,United Nations,8508,2019
285,96,Mexico,Americas,IMF,12673,2023
286,96,Mexico,Americas,World Bank,10046,2021
287,96,Mexico,Americas,United Nations,10046,2021
288,97,Kazakhstan,Asia,IMF,12306,2023
289,97,Kazakhstan,Asia,World Bank,10374,2021
290,97,Kazakhstan,Asia,United Nations,10055,2021
291,98,Saint Lucia,Americas,IMF,12264,2023
292,98,Saint Lucia,Americas,World Bank,9414,2021
293,98,Saint Lucia,Americas,United Nations,9824,2021
294,99,Turkey,Asia,IMF,11931,2023
295,99,Turkey,Asia,World Bank,9661,2021
296,99,Turkey,Asia,United Nations,9661,2021
297,100,Nauru,Oceania,IMF,11825,2023
298,100,Nauru,Oceania,World Bank,10648,2021
299,100,Nauru,Oceania,United Nations,12390,2021
300,101,Mauritius,Africa,IMF,11548,2023
301,101,Mauritius,Africa,World Bank,9106,2021
302,101,Mauritius,Africa,United Nations,8873,2021
303,102,Dominican Republic,Americas,IMF,11308,2023
304,102,Dominican Republic,Americas,World Bank,8477,2021
305,102,Dominican Republic,Americas,United Nations,8477,2021
306,103,Montenegro,Europe,IMF,11289,2023
307,103,Montenegro,Europe,World Bank,9466,2021
308,103,Montenegro,Europe,United Nations,9252,2021
309,104,Cuba,Americas,IMF,0,0
310,104,Cuba,Americas,World Bank,9500,2020
311,104,Cuba,Americas,United Nations,11255,2020
312,105,Grenada,Americas,IMF,11137,2023
313,105,Grenada,Americas,World Bank,9011,2021
314,105,Grenada,Americas,United Nations,8950,2021
315,106,Serbia,Europe,IMF,10849,2023
316,106,Serbia,Europe,World Bank,9230,2021
317,106,Serbia,Europe,United Nations,8643,2021
318,107,Equatorial Guinea,Africa,IMF,9777,2023
319,107,Equatorial Guinea,Africa,World Bank,7507,2021
320,107,Equatorial Guinea,Africa,United Nations,7605,2021
321,108,Brazil,Americas,IMF,9673,2023
322,108,Brazil,Americas,World Bank,7507,2021
323,108,Brazil,Americas,United Nations,7507,2021
324,109,Saint Vincent and the Grenadines,Americas,IMF,9359,2023
325,109,Saint Vincent and the Grenadines,Americas,World Bank,8666,2021
326,109,Saint Vincent and the Grenadines,Americas,United Nations,8440,2021
327,110,Gabon,Africa,IMF,9294,2023
328,110,Gabon,Africa,World Bank,8635,2021
329,110,Gabon,Africa,United Nations,7911,2021
330,111,Dominica,Americas,IMF,9144,2023
331,111,Dominica,Americas,World Bank,7653,2021
332,111,Dominica,Americas,United Nations,7571,2021
333,112,Bosnia and Herzegovina,Europe,IMF,8223,2023
334,112,Bosnia and Herzegovina,Europe,World Bank,7143,2021
335,112,Bosnia and Herzegovina,Europe,United Nations,7143,2021
336,113,Thailand,Asia,IMF,8181,2023
337,113,Thailand,Asia,World Bank,7066,2021
338,113,Thailand,Asia,United Nations,7067,2021
339,114,Armenia,Asia,IMF,8007,2023
340,114,Armenia,Asia,World Bank,4967,2021
341,114,Armenia,Asia,United Nations,4967,2021
342,115,Belarus,Europe,IMF,7944,2023
343,115,Belarus,Europe,World Bank,7302,2021
344,115,Belarus,Europe,United Nations,7121,2021
345,116,Peru,Americas,IMF,7772,2023
346,116,Peru,Americas,World Bank,6622,2021
347,116,Peru,Americas,United Nations,6622,2021
348,117,Georgia,Asia,IMF,7600,2023
349,117,Georgia,Asia,World Bank,5023,2021
350,117,Georgia,Asia,United Nations,4975,2021
351,118,North Macedonia,Europe,IMF,7384,2023
352,118,North Macedonia,Europe,World Bank,6695,2021
353,118,North Macedonia,Europe,United Nations,6600,2021
354,119,Botswana,Africa,IMF,7270,2023
355,119,Botswana,Africa,World Bank,6805,2021
356,119,Botswana,Africa,United Nations,6805,2021
357,120,Albania,Europe,IMF,7058,2023
358,120,Albania,Europe,World Bank,6493,2021
359,120,Albania,Europe,United Nations,6396,2021
360,121,Belize,Americas,IMF,7017,2023
361,121,Belize,Americas,World Bank,6228,2021
362,121,Belize,Americas,United Nations,6229,2021
363,122,Libya,Africa,IMF,6763,2023
364,122,Libya,Africa,World Bank,6357,2021
365,122,Libya,Africa,United Nations,5791,2021
366,123,Azerbaijan,Asia,IMF,6757,2023
367,123,Azerbaijan,Asia,World Bank,5388,2021
368,123,Azerbaijan,Asia,United Nations,5296,2021
369,124,Ecuador,Americas,IMF,6642,2023
370,124,Ecuador,Americas,World Bank,5965,2021
371,124,Ecuador,Americas,United Nations,5965,2021
372,125,South Africa,Africa,IMF,6485,2023
373,125,South Africa,Africa,World Bank,7055,2021
374,125,South Africa,Africa,United Nations,7055,2021
375,126,Colombia,Americas,IMF,6417,2023
376,126,Colombia,Americas,World Bank,6104,2021
377,126,Colombia,Americas,United Nations,6104,2021
378,127,Moldova,Europe,IMF,6342,2023
379,127,Moldova,Europe,World Bank,5231,2021
380,127,Moldova,Europe,United Nations,4468,2021
381,128,Jamaica,Americas,IMF,6282,2023
382,128,Jamaica,Americas,World Bank,5184,2021
383,128,Jamaica,Americas,United Nations,5184,2021
384,129,Iraq,Asia,IMF,6180,2023
385,129,Iraq,Asia,World Bank,4775,2021
386,129,Iraq,Asia,United Nations,4686,2021
387,130,Tuvalu,Oceania,IMF,6007,2023
388,130,Tuvalu,Oceania,World Bank,5632,2021
389,130,Tuvalu,Oceania,United Nations,5370,2021
390,131,Fiji,Oceania,IMF,5887,2023
391,131,Fiji,Oceania,World Bank,4647,2021
392,131,Fiji,Oceania,United Nations,4647,2021
393,132,Paraguay,Americas,IMF,5667,2023
394,132,Paraguay,Americas,World Bank,5892,2021
395,132,Paraguay,Americas,United Nations,6035,2021
396,133,Kosovo,Europe,IMF,5641,2023
397,133,Kosovo,Europe,World Bank,5270,2021
398,133,Kosovo,Europe,United Nations,5663,2021
399,134,Suriname,Americas,IMF,5556,2023
400,134,Suriname,Americas,World Bank,4869,2021
401,134,Suriname,Americas,United Nations,5259,2021
402,135,Tonga,Oceania,IMF,5421,2023
403,135,Tonga,Oceania,World Bank,4426,2021
404,135,Tonga,Oceania,United Nations,4451,2021
405,136,Guatemala,Americas,IMF,5358,2023
406,136,Guatemala,Americas,World Bank,5026,2021
407,136,Guatemala,Americas,United Nations,4883,2021
408,137,El Salvador,Americas,IMF,5308,2023
409,137,El Salvador,Americas,World Bank,4551,2021
410,137,El Salvador,Americas,United Nations,4551,2021
411,138,Marshall Islands,Oceania,IMF,5164,2023
412,138,Marshall Islands,Oceania,World Bank,6172,2021
413,138,Marshall Islands,Oceania,United Nations,6111,2021
414,139,Namibia,Africa,IMF,5100,2023
415,139,Namibia,Africa,World Bank,4866,2021
416,139,Namibia,Africa,United Nations,4836,2021
417,140,Jordan,Asia,IMF,5048,2023
418,140,Jordan,Asia,World Bank,4103,2021
419,140,Jordan,Asia,United Nations,4058,2021
420,141,Indonesia,Asia,IMF,5016,2023
421,141,Indonesia,Asia,World Bank,4333,2021
422,141,Indonesia,Asia,United Nations,4333,2021
423,142,Mongolia,Asia,IMF,4814,2023
424,142,Mongolia,Asia,World Bank,4566,2021
425,142,Mongolia,Asia,United Nations,4510,2021
426,143,Ukraine,Europe,IMF,4654,2023
427,143,Ukraine,Europe,World Bank,4836,2021
428,143,Ukraine,Europe,United Nations,4596,2021
429,144,Algeria,Africa,IMF,4481,2023
430,144,Algeria,Africa,World Bank,3691,2021
431,144,Algeria,Africa,United Nations,3700,2021
432,145,Vietnam,Asia,IMF,4475,2023
433,145,Vietnam,Asia,World Bank,3757,2021
434,145,Vietnam,Asia,United Nations,3756,2021
435,146,Samoa,Oceania,IMF,4436,2023
436,146,Samoa,Oceania,World Bank,3857,2021
437,146,Samoa,Oceania,United Nations,3919,2021
438,147,Micronesia,Oceania,IMF,4336,2023
439,147,Micronesia,Oceania,World Bank,3571,2021
440,147,Micronesia,Oceania,United Nations,3573,2021
441,148,Cape Verde,Africa,IMF,4278,2023
442,148,Cape Verde,Africa,World Bank,3293,2021
443,148,Cape Verde,Africa,United Nations,3293,2021
444,149,Iran,Asia,IMF,4251,2023
445,149,Iran,Asia,World Bank,4091,2021
446,149,Iran,Asia,United Nations,6766,2021
447,150,Eswatini,Africa,IMF,4146,2023
448,150,Eswatini,Africa,World Bank,3978,2021
449,150,Eswatini,Africa,United Nations,3969,2021
450,151,Lebanon,Asia,IMF,3589,2020
451,151,Lebanon,Asia,World Bank,4136,2021
452,151,Lebanon,Asia,United Nations,6785,2021
453,152,Tunisia,Africa,IMF,4071,2023
454,152,Tunisia,Africa,World Bank,3807,2021
455,152,Tunisia,Africa,United Nations,3807,2021
456,153,Philippines,Asia,IMF,3905,2023
457,153,Philippines,Asia,World Bank,3461,2021
458,153,Philippines,Asia,United Nations,3461,2021
459,154,Djibouti,Africa,IMF,3802,2023
460,154,Djibouti,Africa,World Bank,3150,2021
461,154,Djibouti,Africa,United Nations,3348,2021
462,155,Bolivia,Americas,IMF,3800,2023
463,155,Bolivia,Americas,World Bank,3345,2021
464,155,Bolivia,Americas,United Nations,3345,2021
465,156,Morocco,Africa,IMF,3748,2023
466,156,Morocco,Africa,World Bank,3795,2021
467,156,Morocco,Africa,United Nations,3853,2021
468,157,Egypt,Africa,IMF,3644,2023
469,157,Egypt,Africa,World Bank,3699,2021
470,157,Egypt,Africa,United Nations,3898,2021
471,158,Venezuela,Americas,IMF,3640,2023
472,158,Venezuela,Americas,World Bank,15976,2014
473,158,Venezuela,Americas,United Nations,3965,2014
474,159,Papua New Guinea,Oceania,IMF,3517,2023
475,159,Papua New Guinea,Oceania,World Bank,2673,2021
476,159,Papua New Guinea,Oceania,United Nations,2673,2021
477,160,Palestine,Asia,IMF,3506,2023
478,160,Palestine,Asia,World Bank,3664,2021
479,160,Palestine,Asia,United Nations,3514,2021
480,161,Bhutan,Asia,IMF,3497,2023
481,161,Bhutan,Asia,World Bank,3266,2021
482,161,Bhutan,Asia,United Nations,3063,2021
483,162,Sri Lanka,Asia,IMF,3362,2022
484,162,Sri Lanka,Asia,World Bank,4014,2021
485,162,Sri Lanka,Asia,United Nations,3918,2021
486,163,Honduras,Americas,IMF,3278,2023
487,163,Honduras,Americas,World Bank,2772,2021
488,163,Honduras,Americas,United Nations,2772,2021
489,164,Angola,Africa,IMF,3204,2023
490,164,Angola,Africa,World Bank,1954,2021
491,164,Angola,Africa,United Nations,2258,2021
492,165,Vanuatu,Oceania,IMF,3188,2023
493,165,Vanuatu,Oceania,World Bank,2997,2021
494,165,Vanuatu,Oceania,United Nations,3073,2021
495,166,São Tomé and Príncipe,Africa,IMF,2695,2023
496,166,São Tomé and Príncipe,Africa,World Bank,2361,2021
497,166,São Tomé and Príncipe,Africa,United Nations,2486,2021
498,167,Ivory Coast,Africa,IMF,2646,2023
499,167,Ivory Coast,Africa,World Bank,2549,2021
500,167,Ivory Coast,Africa,United Nations,2539,2021
501,168,India,Asia,IMF,2601,2023
502,168,India,Asia,World Bank,2257,2021
503,168,India,Asia,United Nations,2274,2021
504,169,Nicaragua,Americas,IMF,2589,2023
505,169,Nicaragua,Americas,World Bank,2046,2021
506,169,Nicaragua,Americas,United Nations,2046,2021
507,170,Congo,Africa,IMF,2584,2023
508,170,Congo,Africa,World Bank,2290,2021
509,170,Congo,Africa,United Nations,2200,2021
510,171,Uzbekistan,Asia,IMF,2563,2023
511,171,Uzbekistan,Asia,World Bank,1983,2021
512,171,Uzbekistan,Asia,United Nations,2032,2021
513,172,Mauritania,Africa,IMF,2475,2023
514,172,Mauritania,Africa,World Bank,2166,2021
515,172,Mauritania,Africa,United Nations,2166,2021
516,173,Bangladesh,Asia,IMF,2469,2023
517,173,Bangladesh,Asia,World Bank,2458,2021
518,173,Bangladesh,Asia,United Nations,2450,2021
519,174,Solomon Islands,Oceania,IMF,2299,2023
520,174,Solomon Islands,Oceania,World Bank,2305,2021
521,174,Solomon Islands,Oceania,United Nations,2306,2021
522,175,Nigeria,Africa,IMF,2280,2023
523,175,Nigeria,Africa,World Bank,2066,2021
524,175,Nigeria,Africa,United Nations,2019,2021
525,176,Kenya,Africa,IMF,2269,2023
526,176,Kenya,Africa,World Bank,2082,2021
527,176,Kenya,Africa,United Nations,2082,2021
528,177,Haiti,Americas,IMF,2173,2023
529,177,Haiti,Americas,World Bank,1830,2021
530,177,Haiti,Americas,United Nations,1664,2021
531,178,Ghana,Africa,IMF,2024,2023
532,178,Ghana,Africa,World Bank,2363,2021
533,178,Ghana,Africa,United Nations,2409,2021
534,179,Kiribati,Oceania,IMF,1989,2023
535,179,Kiribati,Oceania,World Bank,1607,2021
536,179,Kiribati,Oceania,United Nations,1765,2021
537,180,Cambodia,Asia,IMF,1896,2023
538,180,Cambodia,Asia,World Bank,1625,2021
539,180,Cambodia,Asia,United Nations,1608,2021
540,181,Laos,Asia,IMF,1858,2023
541,181,Laos,Asia,World Bank,2536,2021
542,181,Laos,Asia,United Nations,2569,2021
543,182,Zimbabwe,Africa,IMF,1851,2023
544,182,Zimbabwe,Africa,World Bank,1774,2021
545,182,Zimbabwe,Africa,United Nations,1508,2021
546,183,Kyrgyzstan,Asia,IMF,1736,2023
547,183,Kyrgyzstan,Asia,World Bank,1277,2021
548,183,Kyrgyzstan,Asia,United Nations,1339,2021
549,184,Senegal,Africa,IMF,1719,2023
550,184,Senegal,Africa,World Bank,1637,2021
551,184,Senegal,Africa,United Nations,1637,2021
552,185,Cameroon,Africa,IMF,1699,2023
553,185,Cameroon,Africa,World Bank,1667,2021
554,185,Cameroon,Africa,United Nations,1668,2021
555,186,Pakistan,Asia,IMF,1658,2022
556,186,Pakistan,Asia,World Bank,1505,2021
557,186,Pakistan,Asia,United Nations,1480,2021
558,187,Guinea,Africa,IMF,1549,2023
559,187,Guinea,Africa,World Bank,1189,2021
560,187,Guinea,Africa,United Nations,1185,2021
561,188,Ethiopia,Africa,IMF,1475,2023
562,188,Ethiopia,Africa,World Bank,925,2021
563,188,Ethiopia,Africa,United Nations,825,2021
564,189,Timor-Leste,Asia,IMF,1425,2023
